Inter.	DataeHora	Comp.onda(nm)	Sinal	Unid.	Fase(º)	Freq.(Hz)
1	04/02/2015-11:38:54	1999.986000	0.000226	V	100.410000	99.334000
2	04/02/2015-11:38:56	2049.965000	0.000222	V	97.840000	99.349000
3	04/02/2015-11:38:58	2099.972000	0.000205	V	94.730000	99.314000
4	04/02/2015-11:39:00	2149.970000	0.000214	V	100.400000	99.309000
5	04/02/2015-11:39:02	2199.996000	0.000205	V	96.760000	99.334000
6	04/02/2015-11:39:04	2249.979000	0.000186	V	102.660000	99.211000
7	04/02/2015-11:39:06	2299.989000	0.000155	V	99.640000	99.309000
8	04/02/2015-11:39:08	2349.993000	0.000105	V	97.660000	99.285000
9	04/02/2015-11:39:10	2399.986000	0.000157	V	99.190000	99.250000
10	04/02/2015-11:39:12	2449.973000	0.000195	V	97.230000	99.162000
11	04/02/2015-11:39:14	2499.984000	0.000240	V	100.820000	99.285000
12	04/02/2015-11:39:16	2549.987000	0.000215	V	98.430000	99.181000
13	04/02/2015-11:39:18	2599.981000	0.000221	V	98.040000	99.378000
14	04/02/2015-11:39:20	2649.965000	0.000201	V	95.710000	99.295000
15	04/02/2015-11:39:22	2699.975000	0.000274	V	98.910000	99.285000
16	04/02/2015-11:39:24	2749.976000	0.000286	V	99.800000	99.221000
17	04/02/2015-11:39:26	2799.968000	0.000383	V	99.710000	99.137000
18	04/02/2015-11:39:29	2849.983000	0.000438	V	99.730000	99.235000
19	04/02/2015-11:39:31	2899.990000	0.000450	V	98.170000	99.093000
20	04/02/2015-11:39:33	2949.985000	0.000477	V	98.610000	99.240000
21	04/02/2015-11:39:35	2999.970000	0.000470	V	99.410000	99.034000
22	04/02/2015-11:39:37	3049.978000	0.000460	V	96.990000	99.157000
23	04/02/2015-11:39:39	3099.978000	0.000457	V	99.740000	99.108000
24	04/02/2015-11:39:41	3149.964000	0.000428	V	98.910000	99.255000
25	04/02/2015-11:39:43	3199.974000	0.000371	V	99.780000	99.255000
26	04/02/2015-11:39:45	3249.975000	0.000283	V	101.170000	99.083000
27	04/02/2015-11:39:47	3299.963000	0.000293	V	99.610000	99.388000
28	04/02/2015-11:39:49	3349.975000	0.000248	V	95.790000	99.295000
29	04/02/2015-11:39:51	3399.972000	0.000155	V	101.090000	99.137000
30	04/02/2015-11:39:53	3449.995000	0.000198	V	99.860000	99.226000
31	04/02/2015-11:39:55	3499.969000	0.000195	V	99.960000	99.127000
32	04/02/2015-11:39:57	3549.965000	0.000202	V	98.210000	99.122000
33	04/02/2015-11:39:59	3599.986000	0.000191	V	97.310000	99.117000
34	04/02/2015-11:40:01	3649.992000	0.000188	V	99.210000	99.068000
35	04/02/2015-11:40:03	3699.985000	0.000184	V	99.030000	98.970000
36	04/02/2015-11:40:05	3749.963000	0.000199	V	99.320000	99.063000
37	04/02/2015-11:40:08	3799.966000	0.000221	V	101.180000	98.995000
38	04/02/2015-11:40:10	3849.987000	0.000268	V	99.210000	99.147000
39	04/02/2015-11:40:12	3899.963000	0.000320	V	99.240000	99.162000
40	04/02/2015-11:40:14	3949.992000	0.000383	V	100.310000	99.039000
41	04/02/2015-11:40:16	3999.970000	0.000470	V	99.290000	99.093000
42	04/02/2015-11:40:18	4049.971000	0.000553	V	100.250000	99.083000
43	04/02/2015-11:40:20	4099.992000	0.000648	V	99.750000	99.039000
44	04/02/2015-11:40:22	4149.963000	0.000740	V	99.570000	99.098000
45	04/02/2015-11:40:24	4199.991000	0.000270	V	102.490000	99.088000
46	04/02/2015-11:40:26	4249.966000	0.000244	V	95.740000	99.083000
47	04/02/2015-11:40:28	4299.961000	0.000393	V	99.060000	99.044000
48	04/02/2015-11:40:30	4349.975000	0.000910	V	99.600000	99.157000
49	04/02/2015-11:40:32	4399.975000	0.001019	V	100.090000	99.029000
50	04/02/2015-11:40:34	4449.993000	0.001120	V	100.100000	99.191000
