Inter.	DataeHora	Comp.onda(nm)	Sinal	Unid.	Fase(º)	Freq.(Hz)
51	04/02/2015-11:40:36	4499.993000	0.001181	V	99.660000	99.083000
52	04/02/2015-11:40:38	4549.978000	0.001156	V	99.930000	99.103000
53	04/02/2015-11:40:40	4599.981000	0.001218	V	99.330000	99.078000
54	04/02/2015-11:40:42	4649.969000	0.001270	V	99.650000	99.004000
55	04/02/2015-11:40:44	4699.973000	0.001309	V	99.840000	99.112000
56	04/02/2015-11:40:47	4749.994000	0.001343	V	99.530000	98.956000
57	04/02/2015-11:40:49	4799.965000	0.001343	V	99.380000	99.083000
58	04/02/2015-11:40:51	4849.988000	0.001365	V	99.240000	98.951000
59	04/02/2015-11:40:53	4899.991000	0.001361	V	99.230000	98.956000
60	04/02/2015-11:40:55	4949.976000	0.001333	V	99.890000	98.877000
61	04/02/2015-11:40:57	4999.980000	0.001254	V	99.720000	98.882000
62	04/02/2015-11:40:59	5049.964000	0.001295	V	99.410000	98.970000
63	04/02/2015-11:41:01	5099.964000	0.001265	V	99.400000	98.887000
64	04/02/2015-11:41:03	5149.981000	0.001244	V	99.550000	99.068000
65	04/02/2015-11:41:05	5199.979000	0.001119	V	99.810000	98.911000
66	04/02/2015-11:41:07	5249.992000	0.001193	V	99.620000	99.014000
67	04/02/2015-11:41:09	5299.985000	0.001188	V	99.180000	98.921000
68	04/02/2015-11:41:11	5349.995000	0.001039	V	99.010000	98.921000
69	04/02/2015-11:41:13	5399.983000	0.000904	V	99.800000	98.916000
70	04/02/2015-11:41:15	5449.987000	0.000899	V	99.020000	98.956000
71	04/02/2015-11:41:17	5499.972000	0.000942	V	100.070000	98.789000
72	04/02/2015-11:41:19	5549.970000	0.000773	V	99.440000	98.804000
73	04/02/2015-11:41:21	5599.981000	0.000874	V	100.000000	98.848000
74	04/02/2015-11:41:24	5649.973000	0.000873	V	99.560000	98.833000
75	04/02/2015-11:41:26	5699.978000	0.000737	V	100.560000	98.780000
76	04/02/2015-11:41:28	5749.961000	0.000740	V	98.970000	98.784000
77	04/02/2015-11:41:30	5799.994000	0.000757	V	99.530000	98.750000
78	04/02/2015-11:41:32	5849.969000	0.000775	V	99.300000	98.780000
79	04/02/2015-11:41:34	5899.992000	0.000849	V	99.620000	98.819000
80	04/02/2015-11:41:36	5949.993000	0.000868	V	99.750000	98.858000
81	04/02/2015-11:41:38	5999.970000	0.000934	V	99.630000	98.789000
82	04/02/2015-11:41:40	6049.961000	0.000882	V	99.610000	98.716000
83	04/02/2015-11:41:42	6099.963000	0.000952	V	100.160000	98.863000
84	04/02/2015-11:41:44	6149.977000	0.001001	V	99.580000	98.770000
85	04/02/2015-11:41:46	6199.970000	0.001083	V	100.250000	98.755000
86	04/02/2015-11:41:48	6249.972000	0.001170	V	99.890000	98.794000
87	04/02/2015-11:41:50	6299.985000	0.001258	V	99.950000	98.804000
88	04/02/2015-11:41:52	6349.973000	0.001314	V	99.960000	98.643000
89	04/02/2015-11:41:54	6399.974000	0.001359	V	100.250000	98.882000
90	04/02/2015-11:41:56	6449.984000	0.001508	V	100.070000	98.745000
91	04/02/2015-11:41:58	6499.969000	0.001612	V	99.970000	98.770000
92	04/02/2015-11:42:00	6549.967000	0.001718	V	99.850000	98.755000
93	04/02/2015-11:42:03	6599.971000	0.001867	V	100.120000	98.823000
94	04/02/2015-11:42:05	6649.987000	0.001939	V	99.970000	98.946000
95	04/02/2015-11:42:07	6699.977000	0.001911	V	99.680000	99.024000
96	04/02/2015-11:42:09	6749.975000	0.001980	V	99.840000	99.088000
97	04/02/2015-11:42:11	6799.982000	0.002043	V	100.100000	98.946000
98	04/02/2015-11:42:13	6849.963000	0.002145	V	100.150000	99.049000
99	04/02/2015-11:42:15	6899.988000	0.002235	V	99.790000	99.019000
100	04/02/2015-11:42:17	6949.985000	0.002316	V	100.160000	99.029000
101	04/02/2015-11:42:19	6999.991000	0.002492	V	100.260000	98.946000
102	04/02/2015-11:42:21	7049.970000	0.002679	V	100.090000	99.049000
103	04/02/2015-11:42:23	7099.989000	0.002786	V	100.170000	98.902000
104	04/02/2015-11:42:25	7149.982000	0.002913	V	100.400000	98.980000
105	04/02/2015-11:42:27	7199.981000	0.003030	V	100.480000	98.843000
106	04/02/2015-11:42:29	7249.988000	0.003107	V	100.400000	98.809000
107	04/02/2015-11:42:31	7299.965000	0.003159	V	100.320000	98.926000
108	04/02/2015-11:42:33	7349.985000	0.003192	V	100.560000	98.784000
109	04/02/2015-11:42:35	7399.975000	0.003281	V	100.360000	98.736000
110	04/02/2015-11:42:37	7449.971000	0.003325	V	100.600000	98.799000
111	04/02/2015-11:42:40	7499.971000	0.003425	V	100.450000	98.667000
112	04/02/2015-11:42:42	7549.979000	0.003461	V	100.610000	98.775000
113	04/02/2015-11:42:44	7599.990000	0.003309	V	100.360000	98.765000
114	04/02/2015-11:42:46	7649.972000	0.003289	V	100.700000	98.882000
115	04/02/2015-11:42:48	7699.992000	0.003078	V	100.730000	98.809000
116	04/02/2015-11:42:50	7749.981000	0.003031	V	100.450000	98.980000
117	04/02/2015-11:42:52	7799.974000	0.002975	V	100.680000	98.697000
118	04/02/2015-11:42:54	7849.972000	0.003147	V	100.950000	98.716000
119	04/02/2015-11:42:56	7899.973000	0.003356	V	100.520000	98.745000
120	04/02/2015-11:42:58	7949.978000	0.003143	V	100.730000	98.887000
121	04/02/2015-11:43:00	7999.985000	0.002799	V	100.740000	98.663000
122	04/02/2015-11:43:02	8049.994000	0.003039	V	100.850000	98.814000
123	04/02/2015-11:43:04	8099.972000	0.003093	V	100.840000	98.804000
124	04/02/2015-11:43:06	8149.986000	0.002816	V	100.710000	98.731000
125	04/02/2015-11:43:08	8199.966000	0.002795	V	100.610000	98.736000
126	04/02/2015-11:43:10	8249.984000	0.002746	V	101.010000	98.702000
127	04/02/2015-11:43:12	8299.968000	0.002712	V	100.400000	98.706000
128	04/02/2015-11:43:14	8349.987000	0.002630	V	101.090000	98.677000
129	04/02/2015-11:43:17	8399.974000	0.001656	V	100.390000	98.643000
130	04/02/2015-11:43:19	8449.993000	0.001397	V	100.880000	98.609000
131	04/02/2015-11:43:21	8499.981000	0.001449	V	101.200000	98.565000
132	04/02/2015-11:43:23	8549.966000	0.001356	V	100.920000	98.677000
133	04/02/2015-11:43:25	8599.988000	0.001421	V	101.010000	98.843000
134	04/02/2015-11:43:27	8649.974000	0.001646	V	100.880000	98.877000
135	04/02/2015-11:43:29	8699.994000	0.001861	V	100.700000	98.565000
136	04/02/2015-11:43:31	8749.976000	0.001954	V	101.050000	98.775000
137	04/02/2015-11:43:33	8799.992000	0.001863	V	100.850000	98.814000
138	04/02/2015-11:43:35	8849.974000	0.001803	V	100.740000	98.872000
139	04/02/2015-11:43:37	8899.986000	0.001732	V	100.740000	98.711000
140	04/02/2015-11:43:39	8949.996000	0.001669	V	101.000000	98.765000
141	04/02/2015-11:43:41	8999.970000	0.001567	V	100.970000	98.887000
142	04/02/2015-11:43:43	9049.975000	0.001469	V	100.620000	98.741000
143	04/02/2015-11:43:45	9099.978000	0.001384	V	100.950000	98.780000
144	04/02/2015-11:43:47	9149.975000	0.001295	V	101.520000	98.663000
145	04/02/2015-11:43:49	9199.970000	0.001240	V	101.040000	98.614000
146	04/02/2015-11:43:51	9249.994000	0.001151	V	101.100000	99.004000
147	04/02/2015-11:43:53	9299.981000	0.001095	V	100.940000	98.629000
148	04/02/2015-11:43:56	9349.963000	0.001018	V	101.270000	98.614000
149	04/02/2015-11:43:58	9399.973000	0.000958	V	101.200000	98.775000
150	04/02/2015-11:44:00	9449.980000	0.000896	V	100.820000	98.565000
151	04/02/2015-11:44:02	9499.979000	0.000826	V	100.710000	98.677000
152	04/02/2015-11:44:04	9549.975000	0.000782	V	100.450000	98.536000
153	04/02/2015-11:44:06	9599.963000	0.000719	V	100.860000	98.653000
154	04/02/2015-11:44:08	9649.980000	0.000681	V	101.720000	98.677000
155	04/02/2015-11:44:10	9699.988000	0.000647	V	101.320000	98.848000
156	04/02/2015-11:44:12	9749.990000	0.000598	V	101.880000	98.599000
157	04/02/2015-11:44:14	9799.986000	0.000554	V	101.480000	98.667000
158	04/02/2015-11:44:16	9849.973000	0.000526	V	103.280000	98.507000
159	04/02/2015-11:44:18	9899.986000	0.000478	V	100.960000	98.619000
160	04/02/2015-11:44:20	9949.993000	0.000461	V	100.870000	98.585000
161	04/02/2015-11:44:22	9999.988000	0.000422	V	99.870000	98.580000
162	04/02/2015-11:44:24	10049.976000	0.000361	V	100.580000	98.736000
163	04/02/2015-11:44:26	10099.988000	0.000335	V	102.950000	98.629000
164	04/02/2015-11:44:28	10149.992000	0.000308	V	103.770000	98.653000
165	04/02/2015-11:44:30	10199.986000	0.000307	V	100.230000	98.682000
166	04/02/2015-11:44:33	10249.968000	0.000270	V	100.770000	98.459000
167	04/02/2015-11:44:35	10299.975000	0.000260	V	102.860000	98.454000
168	04/02/2015-11:44:37	10349.971000	0.000223	V	102.060000	98.473000
169	04/02/2015-11:44:39	10399.989000	0.000192	V	98.660000	98.425000
170	04/02/2015-11:44:41	10449.994000	0.000193	V	101.360000	98.493000
171	04/02/2015-11:44:43	10499.989000	0.000188	V	100.540000	98.304000
172	04/02/2015-11:44:45	10549.972000	0.000185	V	102.210000	98.280000
173	04/02/2015-11:44:47	10599.976000	0.000181	V	102.550000	98.367000
174	04/02/2015-11:44:49	10649.969000	0.000165	V	95.220000	98.367000
175	04/02/2015-11:44:51	10699.979000	0.000147	V	100.130000	98.425000
176	04/02/2015-11:44:53	10749.977000	0.000153	V	100.540000	98.595000
177	04/02/2015-11:44:55	10799.962000	0.000136	V	101.870000	98.502000
178	04/02/2015-11:44:57	10849.966000	0.000126	V	98.610000	98.863000
179	04/02/2015-11:44:59	10899.988000	0.000142	V	100.520000	98.541000
180	04/02/2015-11:45:01	10949.962000	0.000110	V	101.600000	98.473000
181	04/02/2015-11:45:03	10999.988000	0.000118	V	105.580000	98.595000
182	04/02/2015-11:45:05	11049.967000	0.000116	V	103.680000	98.415000
183	04/02/2015-11:45:07	11099.993000	0.000098	V	101.930000	98.531000
184	04/02/2015-11:45:09	11149.973000	0.000077	V	112.340000	98.643000
185	04/02/2015-11:45:12	11199.968000	0.000086	V	107.170000	98.468000
186	04/02/2015-11:45:14	11249.979000	0.000077	V	97.660000	98.595000
187	04/02/2015-11:45:16	11299.974000	0.000067	V	109.120000	98.711000
188	04/02/2015-11:45:18	11349.984000	0.000066	V	100.970000	98.750000
189	04/02/2015-11:45:20	11399.975000	0.000059	V	100.740000	98.828000
190	04/02/2015-11:45:22	11449.982000	0.000058	V	102.260000	98.697000
191	04/02/2015-11:45:24	11499.969000	0.000056	V	100.120000	98.711000
192	04/02/2015-11:45:26	11549.971000	0.000055	V	108.750000	98.633000
193	04/02/2015-11:45:28	11599.988000	0.000048	V	102.260000	98.614000
194	04/02/2015-11:45:30	11649.982000	0.000043	V	93.900000	98.667000
195	04/02/2015-11:45:32	11699.992000	0.000049	V	103.340000	98.546000
196	04/02/2015-11:45:34	11749.979000	0.000040	V	96.340000	98.527000
197	04/02/2015-11:45:36	11799.980000	0.000044	V	91.910000	98.638000
198	04/02/2015-11:45:38	11849.988000	0.000049	V	109.880000	98.736000
199	04/02/2015-11:45:40	11899.980000	0.000049	V	103.890000	98.561000
200	04/02/2015-11:45:42	11949.979000	0.000044	V	97.290000	98.599000
201	04/02/2015-11:45:44	11999.989000	0.000038	V	107.740000	98.609000
202	04/02/2015-11:45:46	12049.977000	0.000056	V	93.120000	98.507000
203	04/02/2015-11:45:48	12099.975000	0.000057	V	97.790000	98.556000
204	04/02/2015-11:45:51	12149.980000	0.000047	V	117.090000	98.512000
205	04/02/2015-11:45:53	12199.993000	0.000045	V	93.140000	98.643000
206	04/02/2015-11:45:55	12249.985000	0.000041	V	92.860000	98.463000
207	04/02/2015-11:45:57	12299.982000	0.000046	V	99.160000	98.430000
208	04/02/2015-11:45:59	12349.988000	0.000052	V	86.700000	98.381000
209	04/02/2015-11:46:01	12399.968000	0.000036	V	107.710000	98.430000
210	04/02/2015-11:46:03	12449.986000	0.000064	V	93.660000	98.556000
211	04/02/2015-11:46:05	12499.977000	0.000050	V	101.310000	98.726000
212	04/02/2015-11:46:07	12549.975000	0.000040	V	94.230000	98.415000
213	04/02/2015-11:46:09	12599.977000	0.000047	V	88.800000	98.449000
214	04/02/2015-11:46:11	12649.986000	0.000039	V	97.400000	98.692000
215	04/02/2015-11:46:13	12699.995000	0.000047	V	93.040000	98.400000
216	04/02/2015-11:46:15	12749.978000	0.000045	V	97.590000	98.454000
217	04/02/2015-11:46:17	12799.965000	0.000040	V	93.530000	98.459000
218	04/02/2015-11:46:19	12849.984000	0.000035	V	133.830000	98.304000
219	04/02/2015-11:46:21	12899.974000	0.000040	V	101.890000	98.318000
220	04/02/2015-11:46:23	12949.967000	0.000043	V	80.760000	98.468000
221	04/02/2015-11:46:25	12999.993000	0.000043	V	84.620000	98.280000
222	04/02/2015-11:46:27	13049.989000	0.000040	V	90.710000	98.396000
223	04/02/2015-11:46:29	13099.983000	0.000045	V	96.970000	98.386000
224	04/02/2015-11:46:32	13149.979000	0.000036	V	110.640000	98.425000
225	04/02/2015-11:46:34	13200.003000	0.000040	V	102.380000	98.367000
226	04/02/2015-11:46:36	13250.028000	0.000035	V	115.460000	98.251000
227	04/02/2015-11:46:38	13300.051000	0.000024	V	149.590000	98.376000
228	04/02/2015-11:46:41	13350.010000	0.000033	V	108.940000	98.313000
229	04/02/2015-11:46:43	13400.028000	0.000030	V	102.430000	98.145000
230	04/02/2015-11:46:45	13450.045000	0.000025	V	92.240000	98.217000
231	04/02/2015-11:46:47	13500.057000	0.000037	V	98.340000	98.222000
232	04/02/2015-11:46:49	13550.002000	0.000028	V	108.430000	98.328000
233	04/02/2015-11:46:51	13600.006000	0.000026	V	83.780000	98.775000
234	04/02/2015-11:46:53	13650.005000	0.000032	V	104.700000	98.328000
235	04/02/2015-11:46:55	13700.058000	0.000035	V	96.340000	98.415000
236	04/02/2015-11:46:57	13750.046000	0.000028	V	105.940000	98.280000
237	04/02/2015-11:46:59	13800.026000	0.000036	V	98.430000	98.318000
238	04/02/2015-11:47:01	13850.000000	0.000031	V	95.530000	98.357000
239	04/02/2015-11:47:03	13900.028000	0.000026	V	83.550000	98.338000
240	04/02/2015-11:47:06	13950.046000	0.000019	V	113.350000	98.415000
241	04/02/2015-11:47:08	14000.058000	0.000023	V	107.700000	98.149000
242	04/02/2015-11:47:10	14050.058000	0.000017	V	90.000000	98.415000
243	04/02/2015-11:47:12	14100.048000	0.000015	V	109.650000	98.260000
244	04/02/2015-11:47:14	14150.030000	0.000022	V	121.430000	98.468000
245	04/02/2015-11:47:16	14200.001000	0.000024	V	86.420000	98.410000
246	04/02/2015-11:47:18	14250.020000	0.000026	V	90.000000	98.227000
247	04/02/2015-11:47:20	14300.029000	0.000012	V	67.750000	98.430000
248	04/02/2015-11:47:22	14350.025000	0.000023	V	81.350000	98.304000
249	04/02/2015-11:47:24	14400.009000	0.000026	V	85.600000	98.483000
250	04/02/2015-11:47:26	14450.038000	0.000019	V	87.070000	98.202000
251	04/02/2015-11:47:28	14500.054000	0.000017	V	97.490000	98.454000
252	04/02/2015-11:47:30	14550.055000	0.000023	V	86.270000	98.246000
253	04/02/2015-11:47:32	14600.038000	0.000018	V	110.720000	98.111000
254	04/02/2015-11:47:34	14650.009000	0.000023	V	117.150000	98.125000
255	04/02/2015-11:47:36	14700.022000	0.000016	V	126.160000	98.468000
256	04/02/2015-11:47:38	14750.018000	0.000019	V	105.120000	98.333000
257	04/02/2015-11:47:40	14800.057000	0.000029	V	119.620000	98.140000
258	04/02/2015-11:47:42	14850.018000	0.000020	V	101.890000	98.193000
259	04/02/2015-11:47:45	14900.019000	0.000018	V	124.990000	98.246000
260	04/02/2015-11:47:47	14950.061000	0.000002	V	-36.870000	98.193000
261	04/02/2015-11:47:49	15000.022000	0.000018	V	121.500000	98.092000
