Inter. 	 Data e Hora   			Comp.onda(nm)		Sinal 	Unid.	Fase (º)	Freq. (Hz)	
51 	 04/02/2015 - 13:52:58 	 	4499,993000 	0,000675 	 V 	 95,260000 	 99,137000 	
52 	 04/02/2015 - 13:53:00 	 	4549,978000 	0,000816 	 V 	 95,030000 	 99,019000 	
53 	 04/02/2015 - 13:53:02 	 	4599,981000 	0,000857 	 V 	 94,710000 	 99,196000 	
54 	 04/02/2015 - 13:53:04 	 	4649,969000 	0,000922 	 V 	 95,320000 	 99,009000 	
55 	 04/02/2015 - 13:53:06 	 	4699,973000 	0,000979 	 V 	 95,060000 	 99,063000 	
56 	 04/02/2015 - 13:53:08 	 	4749,994000 	0,001059 	 V 	 94,730000 	 99,196000 	
57 	 04/02/2015 - 13:53:10 	 	4799,965000 	0,001106 	 V 	 94,900000 	 99,044000 	
58 	 04/02/2015 - 13:53:12 	 	4849,988000 	0,001176 	 V 	 94,920000 	 99,009000 	
59 	 04/02/2015 - 13:53:14 	 	4899,991000 	0,001231 	 V 	 94,870000 	 99,216000 	
60 	 04/02/2015 - 13:53:16 	 	4949,976000 	0,001265 	 V 	 94,350000 	 99,181000 	
61 	 04/02/2015 - 13:53:18 	 	4999,980000 	0,001244 	 V 	 95,380000 	 99,044000 	
62 	 04/02/2015 - 13:53:20 	 	5049,964000 	0,001355 	 V 	 94,340000 	 99,216000 	
63 	 04/02/2015 - 13:53:22 	 	5099,964000 	0,001391 	 V 	 94,530000 	 99,049000 	
64 	 04/02/2015 - 13:53:25 	 	5149,981000 	0,001466 	 V 	 94,570000 	 99,088000 	
65 	 04/02/2015 - 13:53:27 	 	5199,979000 	0,001371 	 V 	 94,730000 	 99,093000 	
66 	 04/02/2015 - 13:53:29 	 	5249,992000 	0,001489 	 V 	 94,230000 	 99,034000 	
67 	 04/02/2015 - 13:53:31 	 	5299,985000 	0,001569 	 V 	 94,810000 	 99,058000 	
68 	 04/02/2015 - 13:53:33 	 	5349,995000 	0,001486 	 V 	 94,970000 	 99,083000 	
69 	 04/02/2015 - 13:53:35 	 	5399,983000 	0,001241 	 V 	 94,410000 	 99,181000 	
70 	 04/02/2015 - 13:53:37 	 	5449,987000 	0,001213 	 V 	 94,750000 	 99,063000 	
71 	 04/02/2015 - 13:53:39 	 	5499,972000 	0,001424 	 V 	 94,420000 	 99,117000 	
72 	 04/02/2015 - 13:53:41 	 	5549,970000 	0,001118 	 V 	 94,130000 	 99,068000 	
73 	 04/02/2015 - 13:53:43 	 	5599,981000 	0,001285 	 V 	 94,350000 	 99,058000 	
74 	 04/02/2015 - 13:53:45 	 	5649,973000 	0,001232 	 V 	 94,510000 	 99,117000 	
75 	 04/02/2015 - 13:53:47 	 	5699,978000 	0,000818 	 V 	 95,240000 	 99,103000 	
76 	 04/02/2015 - 13:53:49 	 	5749,961000 	0,000799 	 V 	 94,910000 	 99,117000 	
77 	 04/02/2015 - 13:53:51 	 	5799,994000 	0,000760 	 V 	 93,960000 	 99,009000 	
78 	 04/02/2015 - 13:53:53 	 	5849,969000 	0,000708 	 V 	 94,010000 	 99,112000 	
79 	 04/02/2015 - 13:53:55 	 	5899,992000 	0,000935 	 V 	 94,280000 	 99,157000 	
80 	 04/02/2015 - 13:53:57 	 	5949,993000 	0,000870 	 V 	 94,850000 	 98,995000 	
81 	 04/02/2015 - 13:53:59 	 	5999,970000 	0,001094 	 V 	 95,320000 	 99,044000 	
82 	 04/02/2015 - 13:54:01 	 	6049,961000 	0,000611 	 V 	 94,520000 	 99,103000 	
83 	 04/02/2015 - 13:54:04 	 	6099,963000 	0,000787 	 V 	 95,860000 	 99,147000 	
84 	 04/02/2015 - 13:54:06 	 	6149,977000 	0,000846 	 V 	 95,490000 	 98,990000 	
85 	 04/02/2015 - 13:54:08 	 	6199,970000 	0,001115 	 V 	 95,090000 	 99,083000 	
86 	 04/02/2015 - 13:54:10 	 	6249,972000 	0,001211 	 V 	 93,780000 	 98,926000 	
87 	 04/02/2015 - 13:54:12 	 	6299,985000 	0,001280 	 V 	 94,650000 	 99,019000 	
88 	 04/02/2015 - 13:54:14 	 	6349,973000 	0,000872 	 V 	 94,980000 	 99,142000 	
89 	 04/02/2015 - 13:54:16 	 	6399,974000 	0,000353 	 V 	 94,680000 	 98,946000 	
90 	 04/02/2015 - 13:54:18 	 	6449,984000 	0,000638 	 V 	 93,390000 	 99,054000 	
91 	 04/02/2015 - 13:54:20 	 	6499,969000 	0,000669 	 V 	 94,370000 	 99,073000 	
92 	 04/02/2015 - 13:54:22 	 	6549,967000 	0,000387 	 V 	 92,960000 	 99,093000 	
93 	 04/02/2015 - 13:54:24 	 	6599,971000 	0,000547 	 V 	 94,320000 	 98,956000 	
94 	 04/02/2015 - 13:54:26 	 	6649,987000 	0,000732 	 V 	 93,700000 	 98,995000 	
95 	 04/02/2015 - 13:54:28 	 	6699,977000 	0,000638 	 V 	 95,460000 	 99,112000 	
96 	 04/02/2015 - 13:54:30 	 	6749,975000 	0,000887 	 V 	 94,840000 	 99,063000 	
97 	 04/02/2015 - 13:54:32 	 	6799,982000 	0,000942 	 V 	 94,200000 	 98,916000 	
98 	 04/02/2015 - 13:54:34 	 	6849,963000 	0,000540 	 V 	 94,650000 	 99,142000 	
99 	 04/02/2015 - 13:54:36 	 	6899,988000 	0,001125 	 V 	 94,430000 	 99,137000 	
100 	 04/02/2015 - 13:54:38 	 	6949,985000 	0,000856 	 V 	 94,640000 	 99,049000 	
101 	 04/02/2015 - 13:54:40 	 	6999,991000 	0,000997 	 V 	 95,060000 	 99,162000 	
