Inter.	DataeHora	Comp.onda(nm)	Sinal	Unid.	Fase(º)	Freq.(Hz)
1	04/02/2015-14:03:48	1999.986000	0.000006	V	97.430000	99.443000
2	04/02/2015-14:03:50	2049.965000	0.000005	V	-113.960000	99.388000
3	04/02/2015-14:03:52	2099.972000	0.000002	V	-129.800000	99.299000
4	04/02/2015-14:03:54	2149.970000	0.000001	V	68.200000	99.408000
5	04/02/2015-14:03:56	2199.996000	0.000007	V	4.400000	99.196000
6	04/02/2015-14:03:58	2249.979000	0.000004	V	100.620000	99.270000
7	04/02/2015-14:04:00	2299.989000	0.000003	V	110.560000	99.378000
8	04/02/2015-14:04:02	2349.993000	0.000003	V	122.010000	99.235000
9	04/02/2015-14:04:04	2399.986000	0.000011	V	149.240000	99.334000
10	04/02/2015-14:04:06	2449.973000	0.000003	V	50.200000	99.349000
11	04/02/2015-14:04:08	2499.984000	0.000013	V	23.330000	99.186000
12	04/02/2015-14:04:10	2549.987000	0.000003	V	0.000000	99.255000
13	04/02/2015-14:04:12	2599.981000	0.000009	V	27.300000	99.304000
14	04/02/2015-14:04:14	2649.965000	0.000010	V	23.380000	99.275000
15	04/02/2015-14:04:17	2699.975000	0.000013	V	-79.120000	99.285000
16	04/02/2015-14:04:19	2749.976000	0.000000	V	84.290000	99.250000
17	04/02/2015-14:04:21	2799.968000	0.000004	V	-157.170000	99.299000
18	04/02/2015-14:04:23	2849.983000	0.000008	V	115.120000	99.196000
19	04/02/2015-14:04:25	2899.990000	0.000005	V	149.540000	99.260000
20	04/02/2015-14:04:27	2949.985000	0.000003	V	33.690000	99.295000
21	04/02/2015-14:04:29	2999.970000	0.000000	V	45.000000	99.000000
22	04/02/2015-14:04:31	3049.978000	0.000011	V	119.430000	99.290000
23	04/02/2015-14:04:33	3099.978000	0.000015	V	-157.170000	99.103000
24	04/02/2015-14:04:35	3149.964000	0.000012	V	-141.340000	99.166000
25	04/02/2015-14:04:37	3199.974000	0.000005	V	-22.830000	99.324000
26	04/02/2015-14:04:39	3249.975000	0.000010	V	85.600000	99.112000
27	04/02/2015-14:04:41	3299.963000	0.000011	V	21.570000	99.290000
28	04/02/2015-14:04:43	3349.975000	0.000007	V	139.900000	99.162000
29	04/02/2015-14:04:45	3399.972000	0.000020	V	-60.880000	99.157000
30	04/02/2015-14:04:47	3449.995000	0.000005	V	-21.250000	99.280000
31	04/02/2015-14:04:49	3499.969000	0.000013	V	-78.060000	99.088000
32	04/02/2015-14:04:51	3549.965000	0.000008	V	-133.530000	99.275000
33	04/02/2015-14:04:53	3599.986000	0.000007	V	45.000000	99.186000
34	04/02/2015-14:04:55	3649.992000	0.000008	V	73.500000	99.054000
35	04/02/2015-14:04:58	3699.985000	0.000002	V	122.010000	99.280000
