Inter.	DataeHora	Comp.onda(nm)	Sinal	Unid.	Fase(º)	Freq.(Hz)
83	04/02/2015-11:07:44	6099.963000	0.001790	V	99.460000	98.750000
84	04/02/2015-11:07:46	6149.977000	0.001970	V	99.480000	98.887000
85	04/02/2015-11:07:48	6199.970000	0.002270	V	99.480000	98.697000
86	04/02/2015-11:07:50	6249.972000	0.002520	V	99.330000	98.765000
87	04/02/2015-11:07:52	6299.985000	0.002670	V	99.440000	98.653000
88	04/02/2015-11:07:54	6349.973000	0.002350	V	99.180000	98.784000
89	04/02/2015-11:07:56	6399.974000	0.001920	V	99.530000	98.799000
90	04/02/2015-11:07:58	6449.984000	0.002400	V	99.440000	98.706000
91	04/02/2015-11:08:00	6499.969000	0.002490	V	99.440000	98.848000
92	04/02/2015-11:08:02	6549.967000	0.002330	V	99.700000	98.819000
93	04/02/2015-11:08:04	6599.971000	0.002720	V	99.490000	98.921000
94	04/02/2015-11:08:06	6649.987000	0.003000	V	99.660000	98.731000
95	04/02/2015-11:08:09	6699.977000	0.002820	V	99.440000	98.887000
96	04/02/2015-11:08:11	6749.975000	0.003150	V	99.310000	98.736000
97	04/02/2015-11:08:13	6799.982000	0.003300	V	99.320000	98.936000
98	04/02/2015-11:08:15	6849.963000	0.002950	V	99.650000	98.784000
99	04/02/2015-11:08:17	6899.988000	0.003600	V	99.660000	98.765000
100	04/02/2015-11:08:19	6949.985000	0.003460	V	99.720000	98.780000
101	04/02/2015-11:08:21	6999.991000	0.003800	V	99.530000	98.794000
102	04/02/2015-11:08:23	7049.970000	0.004040	V	99.830000	98.561000
103	04/02/2015-11:08:25	7099.989000	0.004140	V	99.640000	98.517000
104	04/02/2015-11:08:27	7149.982000	0.004050	V	100.060000	98.755000
105	04/02/2015-11:08:29	7199.981000	0.004340	V	99.940000	98.614000
106	04/02/2015-11:08:31	7249.988000	0.004380	V	99.820000	98.858000
107	04/02/2015-11:08:33	7299.965000	0.004520	V	99.840000	98.687000
108	04/02/2015-11:08:35	7349.985000	0.004590	V	99.940000	98.648000
